account_number,bank_name,dt_current_timestamp,iban,id,routing_number,swift_bic,uid,user_id
9162003451,ABBOTSTONE AGRICULTURAL PROPERTY UNIT TRUST,1621423988624,GB00XAYA14775878914019,318,069849781,BCYPGB2LSSB,da6b5707-0a27-4d64-a7bc-8376f05ab5f9,3645
1472811786,PGMS (GLASGOW) LIMITED,1621423988624,GB17PYSP21989683671436,4601,227096512,AAFMGB21,a447b1df-50e5-48e4-8837-1b6396878dc0,7622
2215404682,ABBEY LIFE,1621423988624,GB19PAKA48264405342853,6440,125172813,BARBGB2LSOU,e9994caf-ce2b-4edb-b66e-096222e1d183,69
7115882503,ALLIED BANK PHILIPPINES (UK) PLC,1621423988624,GB01JMLN67027209459441,3880,627596609,BOFAGB4TLTR,b516a62d-8ca2-4c47-a8b6-8fe6706e671b,455
0175565934,ABBEY LIFE,1621423988624,GB33EDPV54662229338260,6410,724137534,BCYPGB2LHHB,397c3c9f-1586-4d2f-a5b1-19d72a801fbf,9287
3867631167,ABN AMRO MEZZANINE (UK) LIMITED,1621423988624,GB79DIJS45704035028153,2919,239753092,AAOGGB21,6632d2bf-99c8-4b47-aa0d-8784b36c425a,2229
3256192512,PGMS (GLASGOW) LIMITED,1621423988624,GB77MYGM13707253687450,7080,640222604,BKCHGB2UXXX,919d99b5-b19d-4e48-ab86-1cd6a2b08d68,6068
4032235822,THE ROYAL BANK OF SCOTLAND PLC (FORMER RBS NV),1621423988624,GB81EYWO10176983732500,1112,626119236,BARBGB2LBIR,57b42129-1b90-4cc3-9fe5-81cc6c234c27,620
6001691145,SANTANDER UK PLC,1621423988624,GB79NXIL38244314631237,3494,657476757,BOFAGB22OF2,fc74a01d-a61d-4d92-acaf-c8f3ade21626,5157
9442029788,ABN AMRO HOARE GOVETT SECURITIES,1621423988624,GB40YJDU25449998831788,7902,033052957,ABDIGB21,7f020c7d-6441-4c0c-a8db-a686268fdfbf,9413
0901036002,SANTANDER UK PLC,1621423988624,GB28TGZO14705399889467,1382,210427499,AANLGB2L,62b27648-b880-4aec-a124-1b3bd1e3ef23,6495
8718887320,ABN AMRO MEZZANINE (UK) LIMITED,1621423988624,GB60UTZX73765503248207,3919,079510615,AIBKGB2XTSY,28420868-1e61-4359-a8c5-f646ddf7d22e,7823
3757366976,UBS CLEARING AND EXECUTION SERVICES LIMITED,1621423988624,GB00XIRJ70809204170809,3086,684306528,BARBGB2LWEM,1b284c5a-488b-4afb-8afa-3a2930a63700,1085
1099676039,ALKEN ASSET MANAGEMENT,1621423988624,GB78TEZV22425659722955,5960,689205310,UBKLGB2LBAK,aac06e2e-1737-4853-9aa0-b63a3002dcb2,3429
5717750989,THE ROYAL BANK OF SCOTLAND PLC (FORMER RBS NV),1621423988624,GB25FWTR34872241123821,8377,688280789,UBKLGB2LXXX,4f7b25a3-2eb1-4bd5-89ce-fd5dc44d2266,3678
3995044426,ABN AMRO FUND MANAGERS LIMITED,1621423988624,GB35THIK07034659892597,7446,809424845,BARBGB2LWEM,9fc93a80-7e9e-4100-a847-dc6500b53843,1021
4216551364,ABBEY LIFE,1621423988624,GB13TCCL18547183868053,9671,094993343,BARBGB2LKEN,adb8d87f-aee8-4b26-a4a3-1a1622a3277e,6517
1458410531,PGMS (GLASGOW) LIMITED,1621423988624,GB63SEXQ64704637352049,4120,055773683,BSABGB2LXXX,eab5013f-992c-4f7d-a444-c5020bf913df,3067
1124376958,THE ROYAL BANK OF SCOTLAND PLC (FORMER RBS NV),1621423988624,GB32AONV75904203113702,4148,075940522,AAHOGB21,e8c95707-229c-4c63-9805-ee31a0d36927,3324
